Colony,SC_I,SC_F,TC_I,TC_F,Length_15,Length_16,L_C,Width_15,Width_16,W_C,Height_15,Height_16,H_C,Volume_15,Volume_16,EV_C,BD_15,BD_16,BD_C,Tip_2015,Tip_2016,T_C
52,B,4,2,3,8.6,13.5,4.9,4.9,12.2,7.3,1.6,7.8,6.2,57.26,1011.56,954.3,0.67,0.86,0.19,8,25,17
258,B,3,2,2,7.2,9.4,2.2,3.7,9.6,5.9,2.5,6.7,4.2,58.32,474.91,416.59,0.7,0.6,-0.1,2,6,4
51,C,4,2,3,11.2,10.6,-0.6,11.9,15.2,3.3,9,7.8,-1.2,942.97,1019.45,76.48,0.87,0.86,-0.01,9,30,21
57,C,2,2,2,6.6,5.2,-1.4,3.7,4.1,0.4,5.2,4.1,-1.1,108.32,69.63,-38.69,0.77,0.63,-0.14,4,4,0
59,C,3,2,2,9.9,13,3.1,6.4,6.8,0.4,6.2,9.4,3.2,323.44,723.58,400.14,1,1.2,0.2,2,5,3
116,C,2,2,2,5.4,4.1,-1.3,9.1,3.2,-5.9,6.9,4.1,-2.8,284.85,42.9,-241.95,0.8,0.55,-0.25,6,2,-4
209,B,3,1,2,1.9,3.5,1.6,1.1,2.4,1.3,0,1.6,1.6,2.09,10.94,8.85,0,0.5,0.5,0,1,1
167,A,1,1,2,2.7,0,-2.7,1.9,0,-1.9,0,7.4,7.4,5.13,7.4,2.27,0,0.9,0.9,0,1,1
233,B,1,2,2,3.6,2.5,-1.1,4.6,1.6,-3,3.6,0.2,-3.4,47.53,0.66,-46.87,0.8,0.2,-0.6,2,1,-1
18,A,3,1,2,2.7,5.6,2.9,2.8,6.5,3.7,0,5.6,5.6,7.56,160.99,153.43,0,0.9,0.9,0,4,4
29,B,2,2,2,7,5.4,-1.6,4.1,5.9,1.8,6.5,5.2,-1.3,157.25,130.37,-26.88,0.9,0.56,-0.34,2,4,2
231,A,2,2,2,1,3.7,2.7,1,5.4,4.4,0.5,5.3,4.8,0.39,86.18,85.79,0.4,0.7,0.3,1,7,6
19,C,3,3,3,7.5,10.7,3.2,7.1,9.7,2.6,4.1,6.4,2.3,171.6,522.96,351.36,0.83,0.83,0,12,17,5
39,D,4,3,3,14.2,15,0.8,10.8,11,0.2,11.1,10.3,-0.8,1362.17,1367.14,4.97,0.63,0.6,-0.03,34,28,-6
