"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",364532
1,.,"A",364541
1,.,"A",364542
1,.,"A",364551
1,.,"A",364552
1,.,"A",364561
1,.,"A",364571
1,.,"A",364572
1,.,"A",364581
1,.,"A",364582
1,.,"A",364591
1,.,"A",364592
1,.,"A",364601
1,.,"A",364602
1,.,"A",364611
1,.,"A",364612
1,.,"A",364621
1,.,"A",364622
1,.,"A",364631
1,.,"A",364632
1,.,"A",364641
1,.,"A",364642
1,.,"A",364651
1,.,"A",364652
1,.,"A",364661
1,.,"A",364662
1,.,"A",364671
1,.,"A",364672
1,.,"A",364681
1,.,"A",364682
1,.,"A",364692
1,.,"A",364701
1,.,"A",364702
1,.,"A",364711
1,.,"A",364712
3,12,"D",364721
3,42,"D",364722
1,.,"A",364731
1,.,"A",364732
1,.,"A",364741
1,.,"A",364742
1,.,"A",364751
1,.,"A",364752
1,.,"A",364761
1,.,"A",364762
1,.,"A",364771
1,.,"A",364772
1,.,"A",364781
1,.,"A",364782
1,.,"A",364791
1,.,"A",364792
1,.,"A",364801
1,.,"A",364802
1,.,"A",364811
1,.,"A",364812
1,.,"A",364821
1,.,"A",364822
1,.,"A",364831
1,.,"A",364832
1,.,"A",364841
1,.,"A",364842
1,.,"A",364851
1,.,"A",364852
1,.,"A",364861
1,.,"A",364862
1,.,"A",364871
1,.,"A",364872
1,.,"A",364881
1,.,"A",364882
1,.,"A",364891
1,.,"A",364892
1,.,"A",364901
1,.,"A",364902
1,.,"A",364911
1,.,"A",364912
1,.,"A",364921
1,.,"A",364922
1,.,"A",364931
1,.,"A",364932
1,.,"A",364941
1,.,"A",364942
1,.,"A",364951
1,.,"A",364952
1,.,"A",364961
1,.,"A",364962
1,.,"A",364971
1,.,"A",364972
1,.,"A",364981
1,.,"A",364982
1,.,"A",364991
1,.,"A",364992
1,.,"A",365001
1,.,"A",365002
1,.,"A",365011
1,.,"A",365012
1,.,"A",365021
1,.,"A",365022
1,.,"A",365031
1,.,"A",365032
1,.,"A",365041
1,.,"A",365042
1,.,"A",365051
1,.,"A",365052
1,.,"A",365061
1,.,"A",365062
1,.,"A",365071
1,.,"A",365072
1,.,"A",365081
1,.,"A",365082
1,.,"A",365091
1,.,"A",365092
1,.,"A",365101
1,.,"A",365102
1,.,"A",365111
1,.,"A",365112
1,.,"A",365121
1,.,"A",365122
1,.,"A",365131
1,.,"A",365132
1,.,"A",365141
1,.,"A",365142
1,.,"A",365151
1,.,"A",365152
1,.,"A",365161
1,.,"A",365162
3,9,"D",365171
3,39,"D",365172
1,.,"A",365182
1,.,"A",365191
1,.,"A",365192
1,.,"A",365201
1,.,"A",365202
1,.,"A",365211
1,.,"A",365212
1,.,"A",365221
1,.,"A",365222
1,.,"A",365231
1,.,"A",365232
1,.,"A",365241
1,.,"A",365242
1,.,"A",365251
1,.,"A",365252
1,.,"A",365261
1,.,"A",365262
1,.,"A",365271
1,.,"A",365272
1,.,"A",365281
1,.,"A",365282
1,.,"A",365291
1,.,"A",365292
1,.,"A",365301
1,.,"A",365302
1,.,"A",365311
1,.,"A",365312
1,.,"A",365321
1,.,"A",365322
1,.,"A",365331
1,.,"A",365332
1,.,"A",365341
1,.,"A",365342
1,.,"A",365351
1,.,"A",365352
1,.,"A",365361
1,.,"A",365362
1,.,"A",365371
1,.,"A",365372
1,.,"A",365381
1,.,"A",365382
1,.,"A",365391
1,.,"A",365392
1,.,"A",365401
1,.,"A",365402
1,.,"A",365411
1,.,"A",365412
1,.,"A",365421
1,.,"A",365422
1,.,"A",365431
1,.,"A",365432
1,.,"A",365441
1,.,"A",365442
1,.,"A",365451
1,.,"A",365452
1,.,"A",365461
1,.,"A",365462
1,.,"A",365471
1,.,"A",365472
1,.,"A",365481
1,.,"A",365482
2,15,"D",365491
2,45,"D",365492
1,.,"A",365501
1,.,"A",365502
1,.,"A",365511
1,.,"A",365512
1,.,"A",365521
1,.,"A",365522
1,.,"A",365531
1,.,"A",365532
1,.,"A",365541
1,.,"A",365542
4,13,"D",365551
4,43,"D",365552
2,23,"D",365561
2,53,"D",365562
1,.,"A",365571
1,.,"A",365572
1,.,"A",365581
1,.,"A",365582
1,.,"A",365591
1,.,"A",365592
1,.,"A",365601
1,.,"A",365602
1,.,"A",365611
1,.,"A",365621
1,.,"A",365622
1,.,"A",365631
1,.,"A",365632
1,.,"A",365641
1,.,"A",365642
1,.,"A",365651
1,.,"A",365652
1,.,"A",365661
1,.,"A",365662
2,6,"D",365671
2,36,"D",365672
1,.,"A",365681
1,.,"A",365682
2,30,"D",365691
1,.,"A",365701
1,.,"A",365702
1,.,"A",365711
1,.,"A",365712
1,.,"A",365721
1,.,"A",365722
1,.,"A",365731
1,.,"A",365732
1,.,"A",365741
1,.,"A",365742
1,.,"A",365751
1,.,"A",365752
1,.,"A",365761
1,.,"A",365762
1,.,"A",365771
1,.,"A",365772
1,.,"A",365781
1,.,"A",365782
1,.,"A",365791
1,.,"A",365792
1,.,"A",365801
1,.,"A",365811
1,.,"A",365812
1,.,"A",365821
1,.,"A",365822
1,.,"A",365831
1,.,"A",365832
1,.,"A",365841
1,.,"A",365842
1,.,"A",365851
1,.,"A",365852
1,.,"A",365861
1,.,"A",365862
1,.,"A",365871
1,.,"A",365872
1,.,"A",365881
1,.,"A",365882
1,.,"A",365891
1,.,"A",365892
1,.,"A",365901
1,.,"A",365902
1,.,"A",365911
1,.,"A",365912
1,.,"A",365921
1,.,"A",365922
1,.,"A",365931
1,.,"A",365932
1,.,"A",365941
1,.,"A",365942
1,.,"A",365951
1,.,"A",365952
1,.,"A",365961
1,.,"A",365962
1,.,"A",365971
1,.,"A",365972
1,.,"A",365981
1,.,"A",365982
1,.,"A",365991
1,.,"A",365992
1,.,"A",366001
1,.,"A",366002
1,.,"A",366011
1,.,"A",366012
1,.,"A",366021
1,.,"A",366022
1,.,"A",366031
1,.,"A",366032
1,.,"A",366041
1,.,"A",366042
1,.,"A",366051
1,.,"A",366052
1,.,"A",366061
1,.,"A",366062
1,.,"A",366071
1,.,"A",366072
1,.,"A",366081
1,.,"A",366091
1,.,"A",366092
1,.,"A",366101
1,.,"A",366102
1,.,"A",366111
1,.,"A",366112
1,.,"A",366121
1,.,"A",366131
1,.,"A",366132
1,.,"A",366141
1,.,"A",366142
1,.,"A",366151
1,.,"A",366152
1,.,"A",366161
1,.,"A",366162
1,.,"A",366171
1,.,"A",366172
1,.,"A",366181
1,.,"A",366182
1,.,"A",366191
1,.,"A",366192
1,.,"A",366201
1,.,"A",366202
1,.,"A",366211
1,.,"A",366212
1,.,"A",366221
1,.,"A",366222
1,.,"A",366231
1,.,"A",366232
1,.,"A",366241
1,.,"A",366242
1,.,"A",366251
1,.,"A",366252
1,.,"A",366261
1,.,"A",366262
1,.,"A",366271
1,.,"A",366272
1,.,"A",366281
1,.,"A",366282
1,.,"A",366291
1,.,"A",366292
1,.,"A",366301
1,.,"A",366302
1,.,"A",366311
1,.,"A",366312
1,.,"A",366321
1,.,"A",366322
1,.,"A",366331
1,.,"A",366332
4,13,"D",366341
1,.,"A",366351
1,.,"A",366352
1,.,"A",366361
1,.,"A",366362
1,.,"A",366371
1,.,"A",366372
1,.,"A",366381
1,.,"A",366382
1,.,"A",366392
1,.,"A",366401
1,.,"A",366402
1,.,"A",366411
1,.,"A",366412
1,.,"A",366421
1,.,"A",366422
1,.,"A",366431
1,.,"A",366432
1,.,"A",366441
1,.,"A",366442
1,.,"A",366451
1,.,"A",366452
1,.,"A",366461
1,.,"A",366462
1,.,"A",366471
1,.,"A",366472
1,.,"A",366481
1,.,"A",366482
1,.,"A",366491
1,.,"A",366492
1,.,"A",366501
1,.,"A",366502
1,.,"A",366511
1,.,"A",366512
1,.,"A",366521
1,.,"A",366522
1,.,"A",366531
1,.,"A",366532
1,.,"A",366541
1,.,"A",366542
1,.,"A",366551
1,.,"A",366552
1,.,"A",366561
1,.,"A",366562
1,.,"A",366571
1,.,"A",366572
1,.,"A",366581
1,.,"A",366582
1,.,"A",366591
1,.,"A",366592
1,.,"A",366601
1,.,"A",366602
1,.,"A",366611
1,.,"A",366612
1,.,"A",366621
1,.,"A",366622
1,.,"A",366631
1,.,"A",366632
1,.,"A",366641
1,.,"A",366642
1,.,"A",366651
1,.,"A",366652
1,.,"A",366661
1,.,"A",366662
1,.,"A",366671
1,.,"A",366672
1,.,"A",366681
1,.,"A",366682
1,.,"A",366691
1,.,"A",366692
1,.,"A",366701
1,.,"A",366702
1,.,"A",366711
1,.,"A",366712
2,18,"D",366721
2,48,"D",366722
1,.,"A",366731
1,.,"A",366732
1,.,"A",366741
1,.,"A",366742
1,.,"A",366751
1,.,"A",366752
1,.,"A",366761
1,.,"A",366762
1,.,"A",366771
1,.,"A",366772
1,.,"A",366781
1,.,"A",366782
1,.,"A",366791
1,.,"A",366801
1,.,"A",366802
1,.,"A",366811
1,.,"A",366812
1,.,"A",366821
1,.,"A",366822
2,31,"D",366831
2,60,"D",366832
1,.,"A",366841
1,.,"A",366842
1,.,"A",366851
1,.,"A",366852
1,.,"A",366861
1,.,"A",366862
1,.,"A",366871
1,.,"A",366872
1,.,"A",366881
1,.,"A",366882
1,.,"A",366891
1,.,"A",366892
1,.,"A",366901
1,.,"A",366902
1,.,"A",366911
1,.,"A",366912
1,.,"A",366921
1,.,"A",366922
1,.,"A",366931
1,.,"A",366932
1,.,"A",366941
1,.,"A",366942
1,.,"A",366951
1,.,"A",366952
1,.,"A",366961
1,.,"A",366962
1,.,"A",366971
1,.,"A",366972
1,.,"A",366981
1,.,"A",366982
1,.,"A",366991
1,.,"A",366992
1,.,"A",367001
1,.,"A",367002
2,1,"D",367011
1,.,"A",367021
1,.,"A",367022
1,.,"A",367031
1,.,"A",367032
1,.,"A",367041
1,.,"A",367042
1,.,"A",367051
1,.,"A",367052
1,.,"A",367061
1,.,"A",367062
1,.,"A",367071
1,.,"A",367072
1,.,"A",367081
1,.,"A",367082
1,.,"A",367091
1,.,"A",367092
1,.,"A",367101
1,.,"A",367102
1,.,"A",367111
1,.,"A",367112
1,.,"A",367121
1,.,"A",367122
1,.,"A",367131
1,.,"A",367132
1,.,"A",367141
1,.,"A",367142
2,22,"D",367151
2,52,"D",367152
1,.,"A",367161
1,.,"A",367171
1,.,"A",367172
1,.,"A",367181
1,.,"A",367182
1,.,"A",367191
1,.,"A",367192
1,.,"A",367201
3,20,"D",367211
3,50,"D",367212
1,.,"A",367221
1,.,"A",367222
1,.,"A",367231
1,.,"A",367232
1,.,"A",367241
1,.,"A",367242
1,.,"A",367251
1,.,"A",367252
1,.,"A",367261
1,.,"A",367262
1,.,"A",367271
1,.,"A",367272
1,.,"A",367281
1,.,"A",367282
1,.,"A",367291
1,.,"A",367292
1,.,"A",367301
1,.,"A",367302
1,.,"A",367311
1,.,"A",367312
1,.,"A",367322
1,.,"A",367331
1,.,"A",367332
1,.,"A",367341
1,.,"A",367342
1,.,"A",367351
1,.,"A",367352
1,.,"A",367361
1,.,"A",367362
1,.,"A",367371
1,.,"A",367372
3,20,"D",367381
3,50,"D",367382
1,.,"A",367391
1,.,"A",367392
1,.,"A",367402
1,.,"A",367411
1,.,"A",367412
1,.,"A",367421
1,.,"A",367422
1,.,"A",367431
1,.,"A",367441
1,.,"A",367442
1,.,"A",367451
1,.,"A",367452
1,.,"A",367461
1,.,"A",367471
1,.,"A",367472
1,.,"A",367481
1,.,"A",367482
1,.,"A",367491
1,.,"A",367492
1,.,"A",367501
1,.,"A",367502
1,.,"A",367511
1,.,"A",367512
1,.,"A",367521
1,.,"A",367522
1,.,"A",367531
