"BSNSX","FARMX","IRAX","JSSDEDX","WAGEX","ANFEDTXX","ANGVX","ANPVTX","ANRRX","ANSTATXX","BSNSX_","FARMX_","IRAX_","JSSDEDX_","WAGEX_","ANFE_TXX","ANGVX_","ANPVTX_","ANRRX_","ANST_TXX","FEDTXX","GVX","PVTX","RRX","STATXX","FEDTXX_","GVX_","PVTX_","RRX_","STATXX_","HRSPERWK","WKS_WRKD","HRSP_RWK","WKS__RKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE","SEX","RACE_","SEX_","AGE","MEMBNO","CU_CODE1","EDUCA","IN_COLL","ARM_FORC","SCHLNCHX","SCHLNCHQ","ANYSSINC","ANYRAIL","SS_RRX","MEDICARE","SS_RRQ","US_SUPP","STA_SUPP","SUPPX","GROSPAYX","PAYPERD","SLFEMPSS","SOCRRX","AGE_","CU_C_DE1","EDUCA_","IN_COLL_","ARM__ORC","ANYS_INC","ANYRAIL_","MEDI_ARE","US_SUPP_","STA__UPP","PAYPERD_","SCHL_CHX","SCHL_CHQ","SS_RRX_","SS_RRQ_","SUPPX_","GROS_AYX","SLFE_PSS","SOCRRX_","NEWID"
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","2","4",,"A","D","D","D","A","1","1","D","D",66,1,"1","10",,,.,.,"2","2",.,,.,"1","2",6144,.,,.,0,"D","D","D","A","A","D","D","A","D","D","A","A","A","A","A","D","A","A","D",330651
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","2","4",,"A","D","D","D","A","1","1","D","D",66,1,"1","10",,,.,.,"2","2",.,,.,"1","2",6144,.,,.,0,"D","D","D","A","A","D","D","A","D","D","A","A","A","A","A","D","A","A","D",330652
.,.,.,4208,55000,13357,.,5500,.,1833,"A","A","A","D","D","D","A","D","A","D",510,.,210,.,70,"D","A","D","A","D",40,52,"D","D","1","5","1",,"03","D","D","D","A","D","1","1","D","D",30,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,2100,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",330661
.,.,.,4208,55000,13357,.,5500,.,1833,"A","A","A","D","D","D","A","D","A","D",510,.,210,.,70,"D","A","D","A","D",40,52,"D","D","1","5","1",,"03","D","D","D","A","D","1","1","D","D",30,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,2100,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",330662
.,.,.,3825,50000,.,.,.,.,.,"A","A","A","D","D","B","A","B","A","A",.,.,.,.,.,"C","A","C","A","A",40,52,"D","D","1","5","4",,"03","D","D","D","A","D","1","2","D","D",39,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,1923,"7",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",330671
.,.,.,3825,50000,.,.,.,.,.,"A","A","A","D","D","B","A","B","A","A",.,.,.,.,.,"C","A","C","A","A",40,52,"D","D","1","5","4",,"03","D","D","D","A","D","1","2","D","D",39,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,1923,"7",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",330672
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",40,52,"D","D","1","1","1",,"03","D","D","D","A","D","1","2","D","D",27,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","D","D",330681
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",50,38,"D","D","1","1","1",,"10","D","D","D","A","D","1","1","D","D",27,2,"2","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","D","D",330681
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",40,52,"D","D","1","1","1",,"03","D","D","D","A","D","1","2","D","D",27,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","D","D",330682
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",50,38,"D","D","1","1","1",,"10","D","D","D","A","D","1","1","D","D",27,2,"2","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","D","D",330682
