"HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","RACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE_","SEX_","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","ANYRAIL","ANYRAIL_","ANYSSINC","ANYS_INC","BSNSX","BSNSX_","CU_CODE1","CU_C_DE1","EDUCA","EDUCA_","FARMX","FARMX_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STA_SUPP","STA__UPP","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_"
.,0,,"1","4","1",,"1","1","A","D","A","D","D","D","A","D","D",440172,56,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","2","D","39","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,.,,"5","4",,,"1","1","A","A","A","D","D","A","A","D","D",440172,13,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",2,"D",15,"D",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
84,6,"5","1","1",,"15","1","1","D","D","D","D","D","A","D","D","D",440181,75,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",20000,"D","1","D","43","D",.,"A",.,"A",3000,"D",.,"A",.,"A",3060,"D",1,.,"A",.,"A",.,"A",.,"A",3060,"D",950,"D","2","D",.,"A",.,"A","2","D",.,"B",12,"D",12048,"D",,"A","3","D","1","D","1","D"
40,50,"1","1","1",,"01","1","2","D","D","D","D","D","A","D","D","D",440181,54,"D",5325,"D",.,"A",2080,"D",.,"A",1842,"D","2","D","2","D",.,"A","2","D","43","D",.,"A",448,"D",4375,"D",.,"A",0,"D",3978,"D",2,175,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",155,"D",.,"A","2","D",52000,"D",.,"A",0,"D","2","D","3","D",,"A","3","D"
6,26,"1","5","1",,"03","1","1","D","D","D","D","D","A","D","D","D",440181,21,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","3","D","40","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",3,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","2","D",,"A",,"B"
84,6,"5","1","1",,"15","1","1","D","D","D","D","D","A","D","D","D",440182,75,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",20000,"D","1","D","43","D",.,"A",.,"A",3000,"D",.,"A",.,"A",3060,"D",1,.,"A",.,"A",.,"A",.,"A",3060,"D",950,"D","2","D",.,"A",.,"A","2","D",.,"B",12,"D",12048,"D",,"A","3","D","1","D","1","D"
40,50,"1","1","1",,"01","1","2","D","D","D","D","D","A","D","D","D",440182,54,"D",5325,"D",.,"A",2080,"D",.,"A",1842,"D","2","D","2","D",.,"A","2","D","43","D",.,"A",448,"D",4375,"D",.,"A",0,"D",3978,"D",2,175,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",155,"D",.,"A","2","D",52000,"D",.,"A",0,"D","2","D","3","D",,"A","3","D"
6,26,"1","5","1",,"03","1","1","D","D","D","D","D","A","D","D","D",440182,21,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","3","D","40","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",3,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","2","D",,"A",,"B"
40,49,"1","1","1",,"14","1","1","D","D","D","D","D","A","D","D","D",440191,41,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"C",194,"D",.,"A",.,"A",4590,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",60000,"D",.,"A",0,"D","2","D","3","D",,"A","5","D"
42,52,"1","1","1",,"04","1","2","D","D","D","D","D","A","D","D","D",440191,34,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","2","D","40","D",.,"A",.,"C",.,"A",.,"A",5250,"D",2678,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",35000,"D",.,"A",0,"D","2","D","2","D",,"A",,"C"
40,49,"1","1","1",,"14","1","1","D","D","D","D","D","A","D","D","D",440192,41,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"C",194,"D",.,"A",.,"A",4590,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",60000,"D",.,"A",0,"D","2","D","3","D",,"A","5","D"
42,52,"1","1","1",,"04","1","2","D","D","D","D","D","A","D","D","D",440192,34,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","2","D","40","D",.,"A",.,"C",.,"A",.,"A",5250,"D",2678,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",35000,"D",.,"A",0,"D","2","D","2","D",,"A",,"C"
40,52,"3","1","1",,"02","1","1","D","D","D","D","D","A","D","D","D",440201,54,"D",.,"B",.,"B",.,"B",.,"A",.,"B","2","D","2","D",.,"A","1","D","44","D",.,"A",94,"D",1174,"D",.,"C",.,"A",0,"D",1,.,"C",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",29,"D",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A","2","D"
39,52,"3","1","1",,"10","1","2","D","D","D","D","D","A","D","D","D",440201,53,"D",158,"D",678,"D",.,"A",.,"A",102,"D","2","D","2","D",.,"A","2","D","40","D",.,"A",14,"D",885,"D",60,"D",.,"A",765,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",9,"D",.,"A","2","D",10000,"D",.,"A",0,"D","2","D","3","D",,"A","3","D"
40,52,"3","1","1",,"02","1","1","D","D","D","D","D","A","D","D","D",440202,54,"D",.,"B",.,"B",.,"B",.,"A",.,"B","2","D","2","D",.,"A","1","D","44","D",.,"A",94,"D",1174,"D",.,"C",.,"A",0,"D",1,.,"C",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",29,"D",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A","2","D"
39,52,"3","1","1",,"10","1","2","D","D","D","D","D","A","D","D","D",440202,53,"D",158,"D",678,"D",.,"A",.,"A",102,"D","2","D","2","D",.,"A","2","D","40","D",.,"A",14,"D",885,"D",60,"D",.,"A",765,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",9,"D",.,"A","2","D",10000,"D",.,"A",0,"D","2","D","3","D",,"A","3","D"
